TIMESTAMP,FORECAST
20131101 1:00,0.373604
20131101 2:00,0.38133177
20131101 3:00,0.38230753
20131101 4:00,0.37435272
20131101 5:00,0.3936663
20131101 6:00,0.39754272
20131101 7:00,0.34547603
20131101 8:00,0.19340935
20131101 9:00,0.11243181
20131101 10:00,0.023486119
20131101 11:00,0.012985803
20131101 12:00,0.027306113
20131101 13:00,0.036025178
20131101 14:00,0.020853423
20131101 15:00,0.009319734
20131101 16:00,0.029597532
20131101 17:00,0.0409561
20131101 18:00,0.054957327
20131101 19:00,0.03741687
20131101 20:00,0.009561878
20131101 21:00,0.014113124
20131101 22:00,0.04394077
20131101 23:00,0.08998194
20131102 0:00,0.15777332
20131102 1:00,0.47371927
20131102 2:00,0.53807366
20131102 3:00,0.615871
20131102 4:00,0.69035465
20131102 5:00,0.7159413
20131102 6:00,0.6744395
20131102 7:00,0.61131525
20131102 8:00,0.5804158
20131102 9:00,0.5838507
20131102 10:00,0.52198094
20131102 11:00,0.45526287
20131102 12:00,0.34223193
20131102 13:00,0.5283883
20131102 14:00,0.64395285
20131102 15:00,0.32736686
20131102 16:00,0.39880523
20131102 17:00,0.5417263
20131102 18:00,0.6053351
20131102 19:00,0.5330178
20131102 20:00,0.43299797
20131102 21:00,0.49007317
20131102 22:00,0.5879821
20131102 23:00,0.57832956
20131103 0:00,0.5658434
20131103 1:00,0.49473944
20131103 2:00,0.50771093
20131103 3:00,0.6621737
20131103 4:00,0.6936317
20131103 5:00,0.6733634
20131103 6:00,0.6722898
20131103 7:00,0.6693307
20131103 8:00,0.6651786
20131103 9:00,0.5967278
20131103 10:00,0.51231086
20131103 11:00,0.42340612
20131103 12:00,0.6033566
20131103 13:00,0.62008375
20131103 14:00,0.6610504
20131103 15:00,0.71157956
20131103 16:00,0.7440541
20131103 17:00,0.7639991
20131103 18:00,0.7791192
20131103 19:00,0.7894066
20131103 20:00,0.80136424
20131103 21:00,0.82218164
20131103 22:00,0.85532063
20131103 23:00,0.8244945
20131104 0:00,0.7653081
20131104 1:00,0.7305431
20131104 2:00,0.6517474
20131104 3:00,0.5734812
20131104 4:00,0.47742638
20131104 5:00,0.42473766
20131104 6:00,0.41276434
20131104 7:00,0.4153951
20131104 8:00,0.4359374
20131104 9:00,0.2935295
20131104 10:00,0.34982875
20131104 11:00,0.44528708
20131104 12:00,0.5038772
20131104 13:00,0.5439046
20131104 14:00,0.5794092
20131104 15:00,0.6049661
20131104 16:00,0.6454148
20131104 17:00,0.6796227
20131104 18:00,0.6693084
20131104 19:00,0.6415373
20131104 20:00,0.62233824
20131104 21:00,0.69542307
20131104 22:00,0.7470178
20131104 23:00,0.7596414
20131105 0:00,0.6864859
20131105 1:00,0.48035863
20131105 2:00,0.3387616
20131105 3:00,0.23342264
20131105 4:00,0.16129383
20131105 5:00,0.11178152
20131105 6:00,0.06640643
20131105 7:00,0.05381873
20131105 8:00,0.120897695
20131105 9:00,0.22407582
20131105 10:00,0.33401978
20131105 11:00,0.32477826
20131105 12:00,0.3138962
20131105 13:00,0.3215187
20131105 14:00,0.3280656
20131105 15:00,0.3296509
20131105 16:00,0.30212697
20131105 17:00,0.2841893
20131105 18:00,0.29927126
20131105 19:00,0.32324338
20131105 20:00,0.3394102
20131105 21:00,0.45180264
20131105 22:00,0.46969053
20131105 23:00,0.54354876
20131106 0:00,0.5408295
20131106 1:00,0.40988237
20131106 2:00,0.30829337
20131106 3:00,0.23895112
20131106 4:00,0.2159831
20131106 5:00,0.21812412
20131106 6:00,0.21190941
20131106 7:00,0.19566712
20131106 8:00,0.1177973
20131106 9:00,0.11833152
20131106 10:00,0.089123815
20131106 11:00,0.23792931
20131106 12:00,0.21054506
20131106 13:00,0.39779773
20131106 14:00,0.5135646
20131106 15:00,0.56157595
20131106 16:00,0.52473044
20131106 17:00,0.3704894
20131106 18:00,0.19487888
20131106 19:00,0.13930476
20131106 20:00,0.16138278
20131106 21:00,0.23914787
20131106 22:00,0.09794788
20131106 23:00,0.06589742
20131107 0:00,0.21732387
20131107 1:00,0.36770806
20131107 2:00,0.46505284
20131107 3:00,0.3395138
20131107 4:00,0.43305182
20131107 5:00,0.54639226
20131107 6:00,0.66813725
20131107 7:00,0.8194125
20131107 8:00,0.7648559
20131107 9:00,0.44919583
20131107 10:00,0.080798134
20131107 11:00,0.0061147884
20131107 12:00,0.37837985
20131107 13:00,0.42505965
20131107 14:00,0.47050753
20131107 15:00,0.2101169
20131107 16:00,0.6429256
20131107 17:00,0.7089253
20131107 18:00,0.74625957
20131107 19:00,0.7106695
20131107 20:00,0.734981
20131107 21:00,0.73079497
20131107 22:00,0.78544104
20131107 23:00,0.81738216
20131108 0:00,0.83096796
20131108 1:00,0.82067436
20131108 2:00,0.81977385
20131108 3:00,0.8206865
20131108 4:00,0.8388008
20131108 5:00,0.844502
20131108 6:00,0.81266314
20131108 7:00,0.7839523
20131108 8:00,0.74829984
20131108 9:00,0.67711693
20131108 10:00,0.58279204
20131108 11:00,0.49203768
20131108 12:00,0.41733524
20131108 13:00,0.36677828
20131108 14:00,0.33579278
20131108 15:00,0.23474959
20131108 16:00,0.17357321
20131108 17:00,0.18224612
20131108 18:00,0.21407515
20131108 19:00,0.16966616
20131108 20:00,0.15658253
20131108 21:00,0.2709451
20131108 22:00,0.44250298
20131108 23:00,0.5036779
20131109 0:00,0.4598483
20131109 1:00,0.4585574
20131109 2:00,0.49001256
20131109 3:00,0.54520565
20131109 4:00,0.60769135
20131109 5:00,0.63549405
20131109 6:00,0.6417203
20131109 7:00,0.65233
20131109 8:00,0.68366593
20131109 9:00,0.6554145
20131109 10:00,0.5161275
20131109 11:00,0.44233492
20131109 12:00,0.38947567
20131109 13:00,0.38592666
20131109 14:00,0.5089924
20131109 15:00,0.47962096
20131109 16:00,0.4232631
20131109 17:00,0.40150306
20131109 18:00,0.39850017
20131109 19:00,0.39184764
20131109 20:00,0.4080229
20131109 21:00,0.48355207
20131109 22:00,0.5837763
20131109 23:00,0.5796541
20131110 0:00,0.5319198
20131110 1:00,0.58630496
20131110 2:00,0.57484543
20131110 3:00,0.5513829
20131110 4:00,0.5517698
20131110 5:00,0.5800658
20131110 6:00,0.60558504
20131110 7:00,0.61704
20131110 8:00,0.58675426
20131110 9:00,0.42250738
20131110 10:00,0.34803435
20131110 11:00,0.4268793
20131110 12:00,0.5708906
20131110 13:00,0.48631182
20131110 14:00,0.43091547
20131110 15:00,0.3840364
20131110 16:00,0.33965787
20131110 17:00,0.2876688
20131110 18:00,0.22427931
20131110 19:00,0.17495878
20131110 20:00,0.19470419
20131110 21:00,0.26277798
20131110 22:00,0.30607942
20131110 23:00,0.4397317
20131111 0:00,0.4718155
20131111 1:00,0.40624893
20131111 2:00,0.4082818
20131111 3:00,0.46383122
20131111 4:00,0.5067219
20131111 5:00,0.52497804
20131111 6:00,0.5344288
20131111 7:00,0.5521561
20131111 8:00,0.5074266
20131111 9:00,0.2955564
20131111 10:00,0.2173926
20131111 11:00,0.39075467
20131111 12:00,0.42860463
20131111 13:00,0.27837607
20131111 14:00,0.19822374
20131111 15:00,0.12176782
20131111 16:00,0.096783936
20131111 17:00,0.09433672
20131111 18:00,0.09523569
20131111 19:00,0.0921441
20131111 20:00,0.08709428
20131111 21:00,0.1289038
20131111 22:00,0.18789047
20131111 23:00,0.33338875
20131112 0:00,0.41355905
20131112 1:00,0.45899808
20131112 2:00,0.47786024
20131112 3:00,0.5233641
20131112 4:00,0.54059696
20131112 5:00,0.5601247
20131112 6:00,0.5895214
20131112 7:00,0.6146902
20131112 8:00,0.6522964
20131112 9:00,0.65086335
20131112 10:00,0.57908595
20131112 11:00,0.4744731
20131112 12:00,0.39226088
20131112 13:00,0.30794647
20131112 14:00,0.2447305
20131112 15:00,0.19772877
20131112 16:00,0.15737706
20131112 17:00,0.13898826
20131112 18:00,0.12836622
20131112 19:00,0.11089586
20131112 20:00,0.08664921
20131112 21:00,0.21475582
20131112 22:00,0.112173796
20131112 23:00,0.03651092
20131113 0:00,0.022312362
20131113 1:00,0.00783151
20131113 2:00,0.028049454
20131113 3:00,0.09213874
20131113 4:00,0.19415808
20131113 5:00,0.28225532
20131113 6:00,0.34583548
20131113 7:00,0.3826017
20131113 8:00,0.414368
20131113 9:00,0.4142764
20131113 10:00,0.55001587
20131113 11:00,0.5218216
20131113 12:00,0.38978085
20131113 13:00,0.3038298
20131113 14:00,0.3326311
20131113 15:00,0.43118855
20131113 16:00,0.42336518
20131113 17:00,0.39174923
20131113 18:00,0.36434454
20131113 19:00,0.3702988
20131113 20:00,0.39270607
20131113 21:00,0.43041268
20131113 22:00,0.39693674
20131113 23:00,0.26033953
20131114 0:00,0.10098964
20131114 1:00,0.04870947
20131114 2:00,0.22473893
20131114 3:00,0.45397982
20131114 4:00,0.5469702
20131114 5:00,0.52597356
20131114 6:00,0.44491363
20131114 7:00,0.3719294
20131114 8:00,0.30100456
20131114 9:00,0.13450986
20131114 10:00,0.16785987
20131114 11:00,0.2750931
20131114 12:00,0.5712381
20131114 13:00,0.641269
20131114 14:00,0.6430833
20131114 15:00,0.6238327
20131114 16:00,0.55224556
20131114 17:00,0.4939275
20131114 18:00,0.5489234
20131114 19:00,0.5635904
20131114 20:00,0.56180745
20131114 21:00,0.6188374
20131114 22:00,0.657824
20131114 23:00,0.6965719
20131115 0:00,0.67030203
20131115 1:00,0.52527106
20131115 2:00,0.29876733
20131115 3:00,0.04809505
20131115 4:00,0.009328883
20131115 5:00,0.0072147325
20131115 6:00,0.0045001246
20131115 7:00,0.015728611
20131115 8:00,0.076971576
20131115 9:00,0.057997573
20131115 10:00,0.06110877
20131115 11:00,0.097905725
