,degree,coeff_name,coeff_value,std_error,CI_lower,CI_upper
0,5.0,b1,0.255,0.1116,0.0363,0.4738
1,5.0,b2,9.4457,1.1878,7.1177,11.7738
2,5.0,b3,3.6233,1.2233,1.2256,6.021
3,5.0,b4,-38.268,5.3896,-48.8316,-27.7045
4,5.0,b5,-21.0914,4.4496,-29.8125,-12.3702
5,5.0,b6,-4.7007,5.8442,-16.1553,6.754
6,5.0,b7,52.6345,11.6459,29.8086,75.4605
7,5.0,b8,59.3324,9.7245,40.2723,78.3924
8,5.0,b9,23.274,9.1904,5.2608,41.2872
9,5.0,b10,-18.2234,13.0222,-43.747,7.3002
10,5.0,b11,-27.8383,11.9717,-51.3029,-4.3737
11,5.0,b12,-59.4,10.5843,-80.1453,-38.6547
12,5.0,b13,-25.0238,9.3794,-43.4074,-6.6401
13,5.0,b14,-22.1347,9.9481,-41.6329,-2.6364
14,5.0,b15,39.111,13.5481,12.5567,65.6652
15,5.0,b16,3.718,4.6979,-5.49,12.926
16,5.0,b17,17.756,4.7602,8.426,27.086
17,5.0,b18,18.2799,4.5249,9.4111,27.1487
18,5.0,b19,-2.7224,4.2224,-10.9984,5.5535
19,5.0,b20,11.91,4.4807,3.1279,20.6921
20,5.0,b21,-19.9361,5.3129,-30.3493,-9.5229
